#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,xf86-video-intel,"Intel drivers for xorg server"
,xorg-xbacklight,"RandR-based backlight control application"
,xorg-xev,"Print contents of x events"
,yarn,"nodejs package manager"
,go,"Golang development tools"
A,vivaldi-snapshot,"Web Browser of choice"
,firefox,"Alternate web browser"
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
A,lf-git,"is an extensive terminal file manager that everyone likes."
,arandr,"is a UI for screen adjustment."
,bc,"is used for a dropdown calculator."
,calcurse,"is a lightweight terminal-based calendar."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
,noto-fonts-emoji,"is an emoji font."
A,nerd-fonts-complete,"A ton of fonts, for nerds."
,noto-fonts-emoji,"Google Noto emoji fonts."
,fwupd,"Firmware Update Daemon"
,flameshot,"Powerful yet simple screenshot software"
,docker,"Container orchestration tool"
,android-tools,"Android Platform Tools"
,beets,"Flexible music library manager and tagger"
,bolt,"Thunderbolt control utility"
A,i3exit,"Systemd compatible exit-script for i3, includes blurlock"
A,i3-gaps,"i3 window manager, duh"
A,yadm,"Yet Another Dotfiles Manager"
,ttf-font-awesome,"Iconic font designed for Bootstrap."
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controler."
,pamixer,"is a command-line audio interface."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
,abook,"is an offline addressbook usable by neomutt."
,socat,"is a socket utility."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,lynx,"is a terminal browser."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs-git,"enables the mounting of cell phones."
,simple-mtpfs,"enables the mounting of cell phones."
,xorg-setxkbmap,"allows LARBS's unique keyboard bindings."
,xorg-xmodmap,"allows LARBS's unique keyboard bindings."
,xorg-xset,"allows speeding up the X rate."
G,https://github.com/metalsp0rk/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/metalsp0rk/st.git,"is my custom build of suckless's terminal emulator."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,aws-cli,"Universal Command Line Interface for Amazon Web Services"
,texlive-bibtexextra,"Part of the LaTeX package suite"
,texlive-fontsextra,"Part of the LaTeX package suite"
,texlive-games,"Part of the LaTeX package suite"
,texlive-humanities,"Part of the LaTeX package suite"
,texlive-music,"Part of the LaTeX package suite"
,texlive-pstricks,"Part of the LaTeX package suite"
,texlive-publishers,"Part of the LaTeX package suite"
,texlive-science,"Part of the LaTeX package suite"
,tlp,"Linux laptop power management"
,vifm,"vim filemanager"
,ttf-joypixels,"font suite"
A,ttf-amiri,"font suite"
A,ttf-material-design-icons,"font suite"
A,ttf-symbola,"font suite"
A,ttf-twemoji-color,"font suite"
